File	YACC							Peg-parser					
	Size(bytes)	Run0 (ms)	Run1 (ms)	Run2 (ms)	Run3 (ms)	Run4 (ms)	mean (ms)	Run0 (ms)	Run1 (ms)	Run2 (ms)	Run3 (ms)	Run4 (ms)	mean (ms)
java14srcs/Canvas.java	7268	0	0	0	0	0	0.00	8	21	8	8	8	10.60
java14srcs/GradientPaintContext.java	7513	0	0	0	0	0	0.00	22	47	22	26	22	27.80
java14srcs/ListIterator.java	7527	0	0	0	0	0	0.00	22	23	22	22	22	22.20
java14srcs/Boolean.java	7666	11	9	9	11	10	9.80	4	4	4	4	4	4.00
java14srcs/Image.java	7770	0	0	0	0	0	0.00	21	20	20	20	21	20.40
java14srcs/GradientPaint.java	8346	0	0	0	0	0	0.00	22	22	22	22	22	22.00
java14srcs/RuntimePermission.java	10686	9	9	9	10	9	9.40	6	6	6	6	6	6.00
java14srcs/StringTokenizer.java	11703	0	0	0	0	0	0.00	20	20	20	20	20	20.00
java14srcs/GraphicsDevice.java	11850	3	3	3	3	3	3.10	32	32	32	32	33	32.20
java14srcs/EventDispatchThread.java	12000	0	0	0	0	0	0.00	39	39	79	39	41	47.40
java14srcs/AlphaComposite.java	14656	7	8	7	7	7	7.20	4	4	10	4	4	5.20
java14srcs/ContainerOrderFocusTraversalPolicy.java	14681	5	5	4	5	5	4.80	53	55	129	54	55	69.20
java14srcs/Short.java	15780	1	1	1	1	1	1.00	16	16	39	16	16	20.60
java14srcs/SystemColor.java	16152	0	0	0	0	0	0.00	10	9	24	9	10	12.40
java14srcs/GridBagConstraints.java	16734	0	0	0	0	0	0.00	24	23	59	23	24	30.60
java14srcs/AWTEvent.java	17037	0	0	0	0	0	0.00	23	23	58	22	23	29.80
java14srcs/PropertyPermission.java	17140	0	0	0	0	0	0.00	26	22	58	23	23	30.40
java14srcs/Package.java	17587	0	0	0	0	0	0.00	22	21	56	22	22	28.60
java14srcs/Menu.java	17659	0	0	0	0	0	0.00	22	21	55	21	25	28.80
java14srcs/AbstractCollection.java	17939	0	0	0	0	0	0.00	23	22	57	22	26	30.00
java14srcs/LinkedHashMap.java	18232	0	0	0	0	0	0.00	22	22	57	22	23	29.20
java14srcs/Collection.java	18850	0	0	0	0	0	0.00	23	22	58	23	23	29.80
java14srcs/BasicStroke.java	19188	0	0	0	0	0	0.00	6	6	16	9	6	8.60
java14srcs/TreeSet.java	20031	1	1	1	1	1	1.00	12	12	30	12	12	15.60
java14srcs/CardLayout.java	20432	0	0	0	0	0	0.00	23	22	57	22	22	29.20
java14srcs/Random.java	21941	14	14	14	14	14	14.00	6	6	17	6	6	8.20
java14srcs/ThreadLocal.java	22701	0	0	0	0	0	0.00	10	10	24	10	10	12.80
java14srcs/Polygon.java	22994	1	1	1	1	1	1.00	16	15	38	15	15	19.80
java14srcs/TextField.java	23409	6	6	6	6	6	5.90	41	39	98	40	40	51.60
java14srcs/LinkedList.java	23415	1	1	1	1	1	1.00	11	10	28	10	11	14.00
java14srcs/Timer.java	24132	8	7	6	7	7	6.90	75	72	179	72	73	94.20
java14srcs/RenderingHints.java	24466	0	0	0	0	0	0.00	32	31	80	31	32	41.20
java14srcs/List.java	24945	4	3	4	3	4	3.50	56	55	133	55	56	71.00
java14srcs/TimeZone.java	25332	0	0	0	0	0	0.00	4	4	11	4	5	5.60
java14srcs/Event.java	26373	0	0	0	0	0	0.00	5	5	5	5	5	5.00
java14srcs/Throwable.java	26817	3	3	3	4	3	3.10	12	11	12	12	12	11.80
java14srcs/Properties.java	27807	0	0	0	0	0	0.00	8	8	8	8	8	8.00
java14srcs/Float.java	28215	0	0	0	0	0	0.10	46	43	43	50	45	45.40
java14srcs/Rectangle.java	31007	0	0	0	0	0	0.00	55	21	21	54	24	35.00
java14srcs/AbstractList.java	31942	0	0	0	0	0	0.00	67	26	26	67	28	42.80
java14srcs/EventQueue.java	33058	3	2	2	2	3	2.30	10	4	4	10	4	6.40
java14srcs/AWTEventMulticaster.java	33200	16	15	15	15	15	15.60	50	19	20	51	21	32.20
java14srcs/Integer.java	35579	0	0	0	0	0	0.00	34	13	13	33	13	21.20
java14srcs/BitSet.java	36180	0	0	0	0	0	0.00	56	22	22	62	23	37.00
java14srcs/Math.java	36495	1	1	1	1	1	1.00	52	20	20	56	26	34.80
java14srcs/System.java	37843	11	10	10	9	9	9.70	304	127	127	308	133	199.80
java14srcs/JobAttributes.java	39075	0	0	0	0	0	0.00	87	35	36	90	35	56.60
java14srcs/DefaultKeyboardFocusManager.java	39267	2	2	2	2	2	2.00	19	7	8	20	8	12.40
java14srcs/Scrollbar.java	41594	3	3	3	3	3	3.00	105	42	43	105	43	67.60
java14srcs/IdentityHashMap.java	44165	0	0	0	0	0	0.00	16	6	6	16	6	10.00
java14srcs/PageAttributes.java	49135	0	0	0	1	0	0.10	40	17	16	47	16	27.20
java14srcs/Date.java	50978	0	0	0	0	0	0.00	3	9	3	4	3	4.40
java14srcs/Calendar.java	67186	0	0	0	0	0	0.00	24	61	24	42	25	35.20
java14srcs/Character.java	74738	20	21	19	18	20	19.40	11	30	12	15	12	16.00
java14srcs/Window.java	77126	3	3	3	3	3	3.00	29	70	28	34	28	37.80
java14srcs/Arrays.java	86853	0	0	0	0	0	0.00	21	53	20	27	21	28.40
java14srcs/Class.java	89030	0	0	0	0	0	0.00	22	55	21	30	28	31.20
java14srcs/String.java	90497	0	0	0	0	0	0.00	24	62	24	32	25	33.40
java14srcs/Toolkit.java	90749	0	0	0	0	0	0.00	22	58	23	31	24	31.60
java14srcs/GregorianCalendar.java	93973	0	0	0	0	0	0.00	20	52	20	23	21	27.20
java14srcs/KeyboardFocusManager.java	113928	0	0	0	0	0	0.00	22	55	21	31	22	30.20
java14srcs/Container.java	127056	0	0	0	0	0	0.00	14	37	14	18	15	19.60
